case_id,customer_id,order_id,customer_message,domain,issue_type,support_category,product_name,product_category,transaction_amount,order_status,reported_at,channel,historical_csat,amount_band
CASE00000784,CUST000784,ORD0000784,I am happy with customer service,RETURN,Reverse Pickup Enquiry,Returns,Smart Light Bulb,Sports & Outdoors,1943.58,Delivered,01/08/2023 20:03,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000785,CUST000785,ORD0000785,Very good mam,RETURN,Missing,Returns,Laptop Sleeve,Books,727.47,Cancelled,02/08/2023 19:02,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000786,CUST000786,ORD0000786,The seller cancelled my order. What happens to my payment?,ORDER,Seller Cancelled Order,Order Related,Desk Plant,Toys & Games,1615.63,Cancelled,01/08/2023 16:44,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000787,CUST000787,ORD0000787,An item is missing from my order.,RETURN,Missing,Returns,Winter Jacket,Books,2362.24,Pending,01/08/2023 23:09,Inbound,5,HIGH_VALUE
CASE00000788,CUST000788,ORD0000788,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Instant Pot,Home & Kitchen,1031.67,Cancelled,02/08/2023 13:49,Inbound,3,AUTONOMOUS_ELIGIBLE
CASE00000789,CUST000789,ORD0000789,Good,ORDER,Installation/demo,Order Related,Router,Toys & Games,510.26,Delivered,02/08/2023 14:15,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000790,CUST000790,ORD0000790,Give option for faster delivery,ORDER,Not Needed,Cancellation,External HDD 2TB,Electronics,1908.42,Returned,01/08/2023 08:58,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000791,CUST000791,ORD0000791,Very good voice,PAYMENT,Wallet related,Payments related,LED Desk Lamp,Toys & Games,1189.81,Delivered,01/08/2023 07:57,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000792,CUST000792,ORD0000792,Shopzilla fraud h Customer ko gumrah   h,ORDER,Seller Cancelled Order,Order Related,Fitness Band,Electronics,10.99,Delivered,01/08/2023 13:22,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000793,CUST000793,ORD0000793,"I didn't received the the product one out of two. Very frustrated .Please understand that my frustration is not directed at you personally, but rather at the lack of attention and assistance from your customer service representatives. I believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectively.I sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your company's commitment to customer satisfaction. I expect a timely response to this email and a tangible resolution to my problem.Thank you for your attention to this matter.",RETURN,Missing,Returns,4K Monitor,Books,1030.26,Delivered,01/08/2023 17:47,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000794,CUST000794,ORD0000794,I need help with my order.,RETURN,Fraudulent User,Returns,Yoga Mat,Toys & Games,512.79,Delivered,02/08/2023 14:04,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000795,CUST000795,ORD0000795,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,External HDD 2TB,Electronics,1364.37,Delivered,01/08/2023 16:56,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000796,CUST000796,ORD0000796,Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,ORDER,Not Needed,Cancellation,Smartphone Case,Home & Kitchen,1359.26,Delivered,01/08/2023 22:11,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000797,CUST000797,ORD0000797,Vary good,RETURN,Wrong,Returns,Wireless Charger,Home & Kitchen,549.55,Delivered,02/08/2023 18:16,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000798,CUST000798,ORD0000798,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Microphone,Books,1982.02,Shipped,02/08/2023 19:09,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000799,CUST000799,ORD0000799,Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Sometimes they arrive in busy hours and it becomes difficut to receive the order. So recepient should be informed about the approximate delivery time.,RETURN,Missing,Returns,Noise Cancelling Headphones,Books,38.17,Delivered,02/08/2023 19:59,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000800,CUST000800,ORD0000800,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Kids Toy Car,Toys & Games,598.03,Delivered,31/07/2023 02:18,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000801,CUST000801,ORD0000801,I don't like chat bot,RETURN,Reverse Pickup Enquiry,Returns,Graphic Tablet,Sports & Outdoors,707.69,Pending,01/08/2023 15:30,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000802,CUST000802,ORD0000802,I need help with my order.,ORDER,Installation/demo,Order Related,Winter Jacket,Books,2744.2,Delivered,02/08/2023 00:38,Inbound,5,HIGH_VALUE
CASE00000803,CUST000803,ORD0000803,I need help with my order.,ORDER,Not Needed,Cancellation,Microphone,Books,1424.49,Delivered,02/08/2023 15:02,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000804,CUST000804,ORD0000804,Plz refund immediately,REFUND,Refund Related Issues,Refund Related,Dress Shirt,Home & Kitchen,170.79,Delivered,01/08/2023 13:09,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000805,CUST000805,ORD0000805,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Water Bottle,Clothing,222.04,Delivered,02/08/2023 10:10,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000806,CUST000806,ORD0000806,Nothing,RETURN,Reverse Pickup Enquiry,Returns,Graphic Tablet,Home & Kitchen,572.42,Delivered,01/08/2023 19:53,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000807,CUST000807,ORD0000807,I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou,RETURN,Reverse Pickup Enquiry,Returns,Memory Card 128GB,Home & Kitchen,461.72,Delivered,02/08/2023 00:01,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000808,CUST000808,ORD0000808,Thank you sir,RETURN,Reverse Pickup Enquiry,Returns,Backpack,Electronics,1019.35,Delivered,02/08/2023 10:19,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000809,CUST000809,ORD0000809,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Action Camera,Books,222.14,Delivered,02/08/2023 01:24,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000810,CUST000810,ORD0000810,There is an issue with my refund. Please investigate it.,REFUND,Refund Related Issues,Refund Related,Drone Mini,Home & Kitchen,1268.05,Shipped,02/08/2023 15:09,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000811,CUST000811,ORD0000811,I need help with my order.,ORDER,Invoice request,Order Related,Projector Mini,Toys & Games,438.66,Shipped,02/08/2023 16:13,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000812,CUST000812,ORD0000812,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Wireless Earbuds,Sports & Outdoors,548.76,Delivered,01/08/2023 21:24,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000813,CUST000813,ORD0000813,Front end support executives don't know what to do when we ask for solution,RETURN,Reverse Pickup Enquiry,Returns,Projector Mini,Toys & Games,2485.88,Delivered,31/07/2023 19:41,Inbound,1,HIGH_VALUE
CASE00000814,CUST000814,ORD0000814,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Desk Plant,Clothing,167.72,Delivered,01/08/2023 18:55,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000815,CUST000815,ORD0000815,Mujhe baat kerke achAa lga,ORDER,Customer Requested Modifications,Order Related,USB-C Charger,Books,2521.77,Delivered,01/08/2023 20:35,Inbound,5,HIGH_VALUE
CASE00000816,CUST000816,ORD0000816,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Kids Toy Car,Electronics,122.59,Shipped,02/08/2023 09:59,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000817,CUST000817,ORD0000817,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Phone Tripod,Clothing,85.02,Delivered,01/08/2023 18:31,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000818,CUST000818,ORD0000818,Good,ORDER,Product Specific Information,Product Queries,Kids Toy Car,Home & Kitchen,250.02,Returned,01/08/2023 00:43,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000819,CUST000819,ORD0000819,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Water Bottle,Clothing,1762.78,Shipped,01/08/2023 13:27,Inbound,2,AUTONOMOUS_ELIGIBLE
CASE00000820,CUST000820,ORD0000820,There is an issue with my refund. Please investigate it.,REFUND,Refund Related Issues,Refund Related,Dress Shirt,Home & Kitchen,1852.32,Delivered,01/08/2023 20:45,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000821,CUST000821,ORD0000821,I need help with my order.,RETURN,Service Centres Related,Returns,Smartphone Case,Clothing,2735.82,Delivered,01/08/2023 22:16,Inbound,5,HIGH_VALUE
CASE00000822,CUST000822,ORD0000822,Good,RETURN,Reverse Pickup Enquiry,Returns,Router,Books,943.9,Pending,02/08/2023 12:48,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000823,CUST000823,ORD0000823,I need help with my order.,RETURN,Fraudulent User,Returns,Webcam Full HD,Sports & Outdoors,1376.14,Delivered,02/08/2023 13:28,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000824,CUST000824,ORD0000824,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Water Bottle,Clothing,138.89,Delivered,02/08/2023 18:37,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000825,CUST000825,ORD0000825,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Laptop Sleeve,Electronics,92.42,Delivered,01/08/2023 12:50,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000826,CUST000826,ORD0000826,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,T-Shirt,Books,418.37,Delivered,01/08/2023 18:59,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000827,CUST000827,ORD0000827,Nice service,RETURN,Reverse Pickup Enquiry,Returns,Laptop Sleeve,Clothing,1472.0,Delivered,01/08/2023 00:33,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000828,CUST000828,ORD0000828,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Microphone,Books,45.44,Shipped,01/08/2023 20:09,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000829,CUST000829,ORD0000829,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Graphic Tablet,Sports & Outdoors,834.4,Delivered,02/08/2023 10:30,Outcall,4,AUTONOMOUS_ELIGIBLE
CASE00000830,CUST000830,ORD0000830,I need help with my order.,ORDER,Order Verification,Order Related,Board Game,Electronics,1762.98,Delivered,02/08/2023 13:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000831,CUST000831,ORD0000831,Shopzilla is very very....poor service provider ??,ORDER,Delayed,Order Related,Running Shoes,Sports & Outdoors,306.72,Delivered,02/08/2023 10:31,Email,3,AUTONOMOUS_ELIGIBLE
CASE00000832,CUST000832,ORD0000832,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Microphone,Sports & Outdoors,94.7,Delivered,01/08/2023 17:09,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000833,CUST000833,ORD0000833,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Cookware Set,Sports & Outdoors,972.35,Cancelled,01/08/2023 21:53,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000834,CUST000834,ORD0000834,I need help with my order.,RETURN,Service Centres Related,Returns,Gaming Mouse,Electronics,525.72,Shipped,31/07/2023 19:04,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000835,CUST000835,ORD0000835,I need help with my order.,RETURN,Technician Visit,Returns,Water Bottle,Home & Kitchen,292.19,Returned,01/08/2023 15:01,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000836,CUST000836,ORD0000836,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,External HDD 2TB,Clothing,1371.06,Delivered,02/08/2023 14:02,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000837,CUST000837,ORD0000837,I am having an issue with my payment.,PAYMENT,Online Payment Issues,Payments related,Graphic Tablet,Electronics,439.62,Delivered,02/08/2023 21:29,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000838,CUST000838,ORD0000838,I need help with my order.,ORDER,Invoice request,Order Related,Microphone,Electronics,1510.57,Delivered,02/08/2023 15:32,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000839,CUST000839,ORD0000839,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Wireless Charger,Electronics,3047.11,Delivered,01/08/2023 18:46,Inbound,4,HIGH_VALUE
CASE00000840,CUST000840,ORD0000840,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Drone Mini,Toys & Games,37.37,Delivered,01/08/2023 22:18,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000841,CUST000841,ORD0000841,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Memory Card 128GB,Books,1800.32,Delivered,02/08/2023 18:54,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000842,CUST000842,ORD0000842,I want to replace the product.,RETURN,Exchange / Replacement,Returns,Board Game,Books,590.62,Returned,02/08/2023 22:42,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000843,CUST000843,ORD0000843,Nice customer service,RETURN,Fraudulent User,Returns,Vacuum Cleaner,Electronics,1920.32,Delivered,01/08/2023 17:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000844,CUST000844,ORD0000844,This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,ORDER,Order status enquiry,Order Related,Water Bottle,Toys & Games,1251.33,Cancelled,02/08/2023 19:40,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000845,CUST000845,ORD0000845,I need help with my order.,ORDER,Installation/demo,Order Related,Microphone,Clothing,611.16,Delivered,02/08/2023 14:36,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000846,CUST000846,ORD0000846,There is an issue with my refund. Please investigate it.,REFUND,Refund Related Issues,Refund Related,Smartwatch,Home & Kitchen,79.66,Delivered,02/08/2023 22:13,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000847,CUST000847,ORD0000847,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Gaming Mouse,Books,2680.74,Delivered,31/07/2023 15:02,Inbound,1,HIGH_VALUE
CASE00000848,CUST000848,ORD0000848,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Drone Mini,Toys & Games,958.29,Delivered,01/08/2023 07:26,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000849,CUST000849,ORD0000849,An item is missing from my order.,RETURN,Missing,Returns,Smart Light Bulb,Sports & Outdoors,595.48,Delivered,01/08/2023 11:43,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000850,CUST000850,ORD0000850,I need help with my order.,ORDER,Not Needed,Cancellation,Air Fryer,Books,1011.6,Delivered,01/08/2023 21:07,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000851,CUST000851,ORD0000851,I received the wrong product.,RETURN,Wrong,Returns,Vacuum Cleaner,Home & Kitchen,1138.18,Delivered,02/08/2023 13:33,Email,5,AUTONOMOUS_ELIGIBLE
CASE00000852,CUST000852,ORD0000852,Thank you,ORDER,Not Needed,Cancellation,Wireless Earbuds,Sports & Outdoors,1167.16,Delivered,01/08/2023 07:33,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000853,CUST000853,ORD0000853,I need help with my order.,ORDER,Not Needed,Cancellation,Vacuum Cleaner,Toys & Games,1020.78,Shipped,01/08/2023 11:52,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000854,CUST000854,ORD0000854,An item is missing from my order.,RETURN,Missing,Returns,Microphone,Home & Kitchen,1200.74,Delivered,01/08/2023 18:19,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000855,CUST000855,ORD0000855,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Wireless Earbuds,Books,11.28,Shipped,02/08/2023 06:31,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000856,CUST000856,ORD0000856,Good Interaction with executive,RETURN,Fraudulent User,Returns,Webcam Full HD,Toys & Games,1287.47,Delivered,02/08/2023 07:10,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000857,CUST000857,ORD0000857,I need help with my order.,ORDER,Priority delivery,Order Related,Dress Shirt,Home & Kitchen,736.97,Delivered,02/08/2023 09:11,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000858,CUST000858,ORD0000858,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Mechanical Keyboard,Clothing,430.0,Shipped,02/08/2023 20:48,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000859,CUST000859,ORD0000859,Thanku,RETURN,Reverse Pickup Enquiry,Returns,Smart Light Bulb,Electronics,1158.56,Delivered,02/08/2023 23:18,Outcall,4,AUTONOMOUS_ELIGIBLE
CASE00000860,CUST000860,ORD0000860,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Router,Sports & Outdoors,937.34,Delivered,01/08/2023 13:35,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000861,CUST000861,ORD0000861,Good,RETURN,Fraudulent User,Returns,Action Camera,Home & Kitchen,270.78,Shipped,02/08/2023 13:06,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000862,CUST000862,ORD0000862,Everything ok,ORDER,Not Needed,Cancellation,Novel Bestseller,Clothing,1557.99,Shipped,02/08/2023 17:28,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000863,CUST000863,ORD0000863,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Projector Mini,Home & Kitchen,915.19,Pending,02/08/2023 16:34,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000864,CUST000864,ORD0000864,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Power Bank 20000mAh,Toys & Games,209.57,Delivered,02/08/2023 19:51,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000865,CUST000865,ORD0000865,I need help with my order.,RETURN,Fraudulent User,Returns,Children's Book,Electronics,222.26,Delivered,01/08/2023 20:13,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000866,CUST000866,ORD0000866,Product cancelled without any information and got feed that u have rehected the delivery,ORDER,Seller Cancelled Order,Order Related,LED Desk Lamp,Sports & Outdoors,288.09,Delivered,02/08/2023 14:21,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000867,CUST000867,ORD0000867,Shopping made easyThanks Shopzilla,ORDER,Product Specific Information,Product Queries,Water Bottle,Home & Kitchen,967.55,Delivered,02/08/2023 16:47,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000868,CUST000868,ORD0000868,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Puzzle 1000pc,Electronics,179.39,Delivered,02/08/2023 20:49,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000869,CUST000869,ORD0000869,I need help with my order.,ORDER,Invoice request,Order Related,Smartwatch,Toys & Games,1253.36,Delivered,02/08/2023 23:35,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000870,CUST000870,ORD0000870,I need help with my order.,RETURN,Service Centres Related,Returns,Kids Toy Car,Clothing,786.81,Shipped,01/08/2023 12:55,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000871,CUST000871,ORD0000871,I received the wrong product.,RETURN,Wrong,Returns,Cookware Set,Sports & Outdoors,2704.39,Shipped,01/08/2023 23:14,Inbound,5,HIGH_VALUE
CASE00000872,CUST000872,ORD0000872,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Office Chair,Electronics,2506.53,Delivered,02/08/2023 07:50,Inbound,5,HIGH_VALUE
CASE00000873,CUST000873,ORD0000873,There is an issue with my refund. Please investigate it.,REFUND,Refund Related Issues,Refund Related,Phone Tripod,Toys & Games,2761.24,Delivered,02/08/2023 09:03,Inbound,5,HIGH_VALUE
CASE00000874,CUST000874,ORD0000874,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Webcam Full HD,Clothing,172.93,Delivered,02/08/2023 10:58,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000875,CUST000875,ORD0000875,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Desk Organizer,Clothing,530.23,Shipped,02/08/2023 08:12,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000876,CUST000876,ORD0000876,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Drone Mini,Books,463.16,Delivered,31/07/2023 20:01,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000877,CUST000877,ORD0000877,When I order they show me delivery after 2 days and once I made full payment in advance they show me delivery after 4/5 days and today when I receive my order that delivery agent is not received call totally useless services I'll never order again from Shopzilla,ORDER,Order status enquiry,Order Related,LED Desk Lamp,Clothing,414.58,Pending,02/08/2023 11:30,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000878,CUST000878,ORD0000878,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Phone Tripod,Clothing,1420.78,Delivered,01/08/2023 00:27,Inbound,3,AUTONOMOUS_ELIGIBLE
CASE00000879,CUST000879,ORD0000879,Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,RETURN,Return request,Returns,Children's Book,Electronics,1002.76,Delivered,02/08/2023 15:46,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000880,CUST000880,ORD0000880,I need help with my order.,ORDER,Installation/demo,Order Related,Wireless Charger,Electronics,2546.78,Shipped,01/08/2023 16:45,Inbound,5,HIGH_VALUE
CASE00000881,CUST000881,ORD0000881,Thanks you Shopzilla,RETURN,Return request,Returns,Smartwatch,Sports & Outdoors,203.33,Delivered,02/08/2023 15:50,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000882,CUST000882,ORD0000882,Nice,ORDER,Delayed,Order Related,Winter Jacket,Clothing,54.96,Delivered,01/08/2023 12:18,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000883,CUST000883,ORD0000883,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Wireless Charger,Home & Kitchen,536.6,Delivered,01/08/2023 19:38,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000884,CUST000884,ORD0000884,I need help with my order.,RETURN,Service Centres Related,Returns,Water Bottle,Sports & Outdoors,1801.53,Delivered,01/08/2023 10:11,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000885,CUST000885,ORD0000885,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Vacuum Cleaner,Books,1879.02,Delivered,01/08/2023 17:35,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000886,CUST000886,ORD0000886,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Office Chair,Home & Kitchen,123.57,Delivered,02/08/2023 14:03,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000887,CUST000887,ORD0000887,Thank you Mam,RETURN,Missing,Returns,Running Shoes,Books,890.69,Delivered,02/08/2023 07:00,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000888,CUST000888,ORD0000888,I received the wrong product.,RETURN,Wrong,Returns,Power Bank 20000mAh,Books,472.7,Delivered,01/08/2023 10:58,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000889,CUST000889,ORD0000889,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,LED Desk Lamp,Sports & Outdoors,73.21,Delivered,01/08/2023 17:27,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000890,CUST000890,ORD0000890,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Desk Organizer,Home & Kitchen,66.32,Delivered,01/08/2023 12:37,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000891,CUST000891,ORD0000891,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Fitness Band,Sports & Outdoors,132.03,Pending,01/08/2023 20:21,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000892,CUST000892,ORD0000892,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Dress Shirt,Clothing,2230.71,Pending,30/07/2023 14:45,Outcall,1,HIGH_VALUE
CASE00000893,CUST000893,ORD0000893,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Puzzle 1000pc,Clothing,2859.04,Delivered,01/08/2023 21:53,Outcall,5,HIGH_VALUE
CASE00000894,CUST000894,ORD0000894,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Water Bottle,Electronics,411.24,Cancelled,02/08/2023 00:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000895,CUST000895,ORD0000895,I need help with my order.,ORDER,Installation/demo,Order Related,Microphone,Home & Kitchen,401.34,Delivered,01/08/2023 16:16,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000896,CUST000896,ORD0000896,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Running Shoes,Home & Kitchen,55.5,Delivered,01/08/2023 20:15,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000897,CUST000897,ORD0000897,I need help with my order.,RETURN,Service Centres Related,Returns,External HDD 2TB,Home & Kitchen,245.53,Delivered,02/08/2023 16:18,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000898,CUST000898,ORD0000898,I need help with my order.,ORDER,Installation/demo,Order Related,External HDD 2TB,Books,855.43,Shipped,02/08/2023 17:14,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000899,CUST000899,ORD0000899,Please make a product tracking system with contact number of every handover consultant's,ORDER,Delayed,Order Related,Bluetooth Speaker,Clothing,1469.08,Delivered,01/08/2023 15:33,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000900,CUST000900,ORD0000900,Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,RETURN,Reverse Pickup Enquiry,Returns,Smartphone Case,Books,1635.66,Delivered,01/08/2023 05:47,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000901,CUST000901,ORD0000901,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Action Camera,Clothing,1639.68,Shipped,02/08/2023 09:20,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000902,CUST000902,ORD0000902,Delivery boy was very rude behavior,ORDER,Product Specific Information,Product Queries,Router,Sports & Outdoors,750.84,Delivered,02/08/2023 17:37,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000903,CUST000903,ORD0000903,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Laptop Sleeve,Toys & Games,15.63,Delivered,02/08/2023 10:03,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000904,CUST000904,ORD0000904,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Webcam Full HD,Sports & Outdoors,507.21,Delivered,01/08/2023 16:52,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000905,CUST000905,ORD0000905,I need help with my order.,RETURN,Technician Visit,Returns,LED Desk Lamp,Sports & Outdoors,900.73,Delivered,02/08/2023 08:17,Inbound,5,AUTONOMOUS_ELIGIBLE
